2946	2863
2946	2863
1370	434
434	1370
26898	8600
8600	26898
339	4020
6378	4020
1103	4404
26485	6980
5881	7487
5881	47610
448	994
994	448
3977	4571
3977	6537
6373	34405
3052	34405
50068	2686
25865	2360
3578	4995
6947	3578
969	2734
2734	969
36537	2329
2329	36537
5444	6947
5444	6947
7937	45208
45208	7937
7215	3334
1284	7215
48780	147
2651	4246
51931	788
51931	6365
7163	2599
7163	2599
194	2422
35836	194
4743	82
35	7572
32456	1193
32456	1193
1116	3645
1283	1116
3081	8666
3476	8666
7373	44191
44191	7373
3006	3386
3386	3006
60363	6755
50003	46965
2571	53996
53996	2571
55999	1259
5296	55999
4967	27822
2710	27822
1089	296
2691	1089
3681	2951
2951	3681
5710	5720
5720	5710
3115	1673
5954	2318
3752	42013
3752	42013
2940	55154
5954	25855
1393	2993
1393	2993
8157	1175
8157	1175
265	2624
265	2624
2934	44613
40815	3967
37477	3
37477	3
5321	28
40815	1185
4190	1694
1694	6850
2005	3806
2005	3622
30793	1073
1073	30793
4958	1784
1784	4958
1176	4697
1176	5902
2788	1136
2788	1136
48516	3825
3825	48516
26599	39183
39183	26599
3535	6309
3535	6309
45081	49272
6942	4485
51927	6967
6967	51927
4262	37380
37380	4262
1282	2644
1282	2644
5643	27592
54286	27592
4878	33171
33171	3788
1304	6451
3100	1234
3882	30707
524	3882
5872	8605
5872	8972
506	1684
506	1684
6377	2018
6377	1029
54259	37857
54259	37857
7573	3098
7573	3098
924	6184
6184	924
5995	1225
1225	5269
2858	8949
2858	8949
4848	1945
5902	1945
546	8633
546	4367
920	48385
920	48385
151	1274
778	6058
4678	1088
2420	2146
1500	6879
40959	1179
8602	702
33154	4777
25762	25755
25755	25762
1388	2722
1389	1387
4789	4975
4975	4789
45672	6286
34148	6286
858	786
2805	786
3044	4226
198	7361
2302	1207
34540	52604
1199	5856
33004	1199
4448	2551
2551	4448
2302	8768
1722	2991
63647	32211
8815	32211
2318	6270
64839	6270
38798	2410
47644	2410
7307	32587
112	4574
1345	3468
3468	1345
44301	3147
5134	3147
3697	1334
5543	1334
2731	32587
1997	1288
1208	4047
4047	1208
6874	7438
6874	7438
3510	8690
51925	3959
8623	1277
8623	1277
57669	3010
57669	3266
43419	7374
43419	7374
670	668
668	670
8362	58972
58972	8362
